#67001f,0.00
#b2182b,0.10
#d6604d,0.20
#f4a482,0.30
#fddbc7,0.40
#f7f7f7,0.50
#d1e5f0,0.60
#92c5de,0.70
#4393c3,0.80
#2166ac,0.90
#053061,1.00
