#A50026,0.00
#D73027,0.10
#F46D43,0.20
#FDAE61,0.30
#FEE08B,0.40
#FFFFBF,0.50
#D9EF8B,0.60
#A6D96A,0.70
#66BD63,0.80
#1A9850,0.90
#006837,1.00
